Diameter,Weight,IV,Year
1.68053712322358,45.6604766491881,250.643727388785,2020
1.68153677136723,45.6763200127299,250.774416550708,2020
1.68201037959054,45.7002671572815,250.866741080211,2020
1.68249173570358,45.7769308996913,250.174612012623,2020
1.68547691256271,45.4309376885619,250.345758087269,2021
1.68594957003968,45.5220751329657,250.352246376835,2021
1.68570604533526,45.4641627980216,250.423503974323,2021
1.68535201981907,45.4955134758816,250.340514375225,2021
1.68265697763178,45.5211363763801,252.080214703771,2022
1.68223815716858,45.5515058852248,252.200681377096,2022
1.6833172531866,45.5504863190772,252.212690031672,2022
1.68373121692815,45.5483705867185,252.310465997942,2022
