Diameter,Weight,IV,Year
1.68167439925302,45.6655857901531,250.692180061823,2020
1.68141350156762,45.7015691094982,250.7594049493,2020
1.6820101675089,45.7451258686061,250.724145479269,2020
1.68170562481115,45.6909618019225,250.674410472176,2020
1.68726421692736,45.5823996242753,250.25164686807,2021
1.68532317111779,45.502255501854,250.341943176568,2021
1.68658513195362,45.5994187053012,250.409061858016,2021
1.68568168917419,45.5567372773194,250.311692339332,2021
1.68342363015815,45.5841025373716,251.306541610251,2022
1.68331744834501,45.6367570404528,251.525420033071,2022
1.68356936270477,45.5659540166386,251.607671871758,2022
1.68368570151685,45.6069628191413,251.555825793452,2022
